D3.TRANSACCION,CANAL_ATENCION,CAUSA,DESCRIPCION,MOTIVO,MUNICIPIO,D0.SERVICIO,D2.PUNTO DE CONTACTO,,D5.LOCALIDAD,P3.ASPECTOS QUE LO SORPRENDIERON O QUE LE MOLESTARON,INCIDENTE CRITICO
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuario en calidad de propietario solicita financiar el servicio de energ?a para el mes de Mayo/19 por valor de $759.684.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,"LA PRIMERA VEZ  QUE YO  FUI A FINANCIAR,  ME DIJERON CIERTA  PLATA DEL   AGUA, DESPUÉS QUE CIERTA PLATA PARA LA LUZ, Y ENTONCES YO PRÁCTICAMENTE ME QUEDE  SIN LUZ Y SIN AGUA  PORQUE ESTABAN  PIDIENDO CASI  400 MIL PESOS POR LAS DOS DESPUÉS POR EL AGUA SOLAMENTE   ESTABAN PIDIENDO 360 MIL PESOS, DESPUÉS VOLVÍ  OTRA VEZ LA LUZ, 700 MIL PESOS, YA DESPUÉS DEJE PASAR   25 DÍAS Y  YA ME ATENDIÓ OTRA SEÑORITA Y HAY SI EL AGUA  SE REBAJÓ A 70 MIL PESOS. LA LUZ A  250 MIL PESOS, SOLAMENTE QUE POR LA TASA DE ASEO Y LA OTRA SEÑORA QUE ME ATENDIÓ HAY MISMO ME SOLUCIONO EL PROBLEMA  PUSO EL   AGUA CON 70 MIL PESOS Y YA DESPUÉS LA  LUZ CON 250 MIL PESOS   Y HAY ESTA.",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,CALDAS,Energía,Línea de atención,,Metropolitana,QUE ME RESOLVIERON EL PROBLEMA POR EL CUAL YO LLAME  ME SOLUCIONARON  HIZO SEGUIMIENTO A MI REQUERIMIENTO (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Quejas Energía (incluido prepago),TELEFONICO,ENTREGA INOPORTUNA O NO ENTREGA DE LA FACTURA,"Marcela Calder?n Mej?a
C.C. 1036661151
Tel?fono 3226790006
Autoriza SMS: SI 
AVDA 49 A DIAG 59 -6 (INTERIOR 301 )
Bello 
Contrato 11555336, ciclo 10, usuaria manifiesta inconformidad por la no entrega de la factura a la direcci?n de cobro, siempre se la dejan en la casa de la vecina,  Favor validar.
ID 00001048981558442583",_,BELLO,Energía,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Pedidos Gas - Estado en proceso,_,_,_,_,MEDELLIN,Gas,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,APARTADO,Gas,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Daños Agua Prepago,_,_,_,_,LA ESTRELLA,Acueducto,Línea de atención,,Metropolitana,QUE NO ME DIERON UN NUMERO DE RADICADO Y CUANDO ME LLAMABAN ME PEDÍAN EL NÚMERO DE RADICADO. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Quejas Energía (incluido prepago),TELEFONICO,FALLA EN LA CONEXION DEL SERVICIO,"Luz Deni David S?nchez
cc. 43985378
CL 58 C CR 90 -1 (INTERIOR 144 )
Tel. 3226643222
Autoriza SMS: S?
Id.00001064671558027909
Cliente asegura que le instalaron el medidor prepago, pero no le energizaron. Le quitaron el contador que ten?a de energ?a convencional y colocaron el otro. Esta sin servicio de energ?a, desde el viernes, no ha podido recargar y esta muy perjudicada. Solicita con urgencia le atiendan, se le da?o los alimentos que hab?an en la nevera. Favor validar, en fenix registra pedido 21161909 para Energ?a Prepago, en estado PENDI-592 con fecha del 22/04/2019.",_,MEDELLIN,Energía,Línea de atención,,Metropolitana,"YO ERA DÁNDOLE LOS DATOS AL MUCHACHO Y EL SOLO DECÍA QUE TENÍAMOS QUE ESPERAR, NO ME GUSTO LA RESPUESTA, ME HUBIERA QUE ME IBAN A QUITAR LA LUZ POR UN MES Y YO NO HUBIERA ACEPTADO, EL MUCHACHO NI REGISTRO LA LLAMADA, PORQUE ME TOCO LLAMAR AL OTRO DÍA Y LA CHICA MUY AMABLE ME ATENDIÓ Y REGISTRO MI LLAMADA CON MI NÚMERO DE CEDULA. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,_,Energía,Línea de atención,,Regional,_,_
Daños Gas,_,_,_,_,APARTADO,Gas,Línea de atención,,Regional,"LLAME A LA EMPRESA Y NO SE DEMORARON EN VENIR A ARREGLAR EL PROBLEMA ,ADEMÁS EL BUEN TRATO DE LA PERSONA QUE REALIZO EL ARREGLO ME PREGUNTABA CÓMO ESTABA EL SISTEMA Y ME EXPLICO LA SITUACIÓN LO QUE YO LE PREGUNTABA",INCIDENTES POSITIVOS
Pedidos Gas - Estado completado,_,_,_,_,MEDELLIN,Gas,Vinculación al Servicio,,Metropolitana,PORQUE HUBO AMABILIDAD EN LA SOLICITUD Y LA INSTALACIÓN DEL SERVICIO DE PARTE DEL PERSONAL. HUBO PUNTUALIDAD EN LA INSTALACIÓN. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,GIRARDOTA,Gas,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,_,Gas,Línea de atención,,Metropolitana,EL SERVICIO SE PRESTÓ RÁPIDAMENTE NO DA MÁS  INFORMACION,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Propietario solicita cup?n para pagar de contado saldos de financiaci?n correspondiente a la instalaci?n de acueducto.,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Pedidos Gas - Estado en proceso,_,_,_,_,BELLO,Gas,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,ITAGUI,Gas,Línea de atención,,Metropolitana,LA ATENCIÓN FUE MUY CLARA Y LA PERSONA QUE ME ATENDIÓ FUE MUY AMABLE. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Pedidos Gas - Estado completado,_,_,_,_,COPACABANA,Gas,Vinculación al Servicio,,Metropolitana,"EL MUCHACHO QUE IBA A HACER LA INSTALACIÓN LLAMO QUE ESTABA CERCA Y QUE YA VENÍA PARA ACÁ (LA CASA), ESTUVIMOS MÁS DE UNA ESPERANDO HASTA QUE LLEGO PORQUE NO TENÍA LA DIRECCIÓN CORRECTA, AL FINAL YA APARECIÓ.",INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,MEDELLIN,Energía,Línea de atención,,Metropolitana,QUE LA PERSONA QUE ME ATENDIÓ ME DIO LA SOLUCIÓN Y ME ENVIÓ EL TÉCNICO A MI CASA (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"RN 27-Usuario en calidad de suscriptor solicita financiaci?n de deuda, presenta ?ltima factura de EPM y c?dula original",_,AMALFI,Energía,Oficina de atención,,Regional,LA ATENCIÓN EN CUANTO A QUE LAS PERSONAS QUE ME ATENDIERON FUERON AMABLES Y NO ME HICIERON ESPERAR PARA QUE ME ATENDIERAN.,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,NO CONEXION DEL SERVICIO,"us:  Melissa Andrea Mendoza Giraldo cc: 1017191443 tel: 3508228842 dir: CR 73 C CL 74 -85 (INTERIOR 301 ) de Medell?n, con orden de Certificaci?n Conexi?n ORD -00712024 en ejecuci?n desde 26/02/2019 8:19 a.m. con ANS vencido en el d?a 82 de 7, a parte la usuaria se comunica con el contrato asignado O&I INSPECCIONES SAS - CW30122 e indican que la orden no esta para ellos, por favor validar y dar soluci?n ya que la usuaria le pueden suspender el servicio. ID: 00001090461557852370 / JLOPCAR  (autoriza mensaje)",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,ME EXPLICARON BIEN TODO SE GESTIONÓ TODO LO PERTINENTE  AL SERVICIO LOS QUE FUERON  MUY AMABLES NO TENGO NINGUNA  QUEJA AL RESPECTO,INCIDENTES POSITIVOS
"Pedidos Energía (HV, legalizaciones y prepago) - Facturado",_,_,_,_,BELEN,Energía,Vinculación al Servicio,,Regional,PORQUE FUE RÁPIDO A LA INSTALACIÓN Y LA SOLICITUD DEL SERVICIO DE ENERGÍA/NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
"Peticiones Escritas (Energía, aguas, gas)",CARTA,SOLICITUD DE SERVICIO,"Seg?n Radicado No. 20190120096337
Cliente solicita viabilidad del servicio de gas en la CL 93 B CR 37 -13",_,MEDELLIN,Gas,Canal Escrito,,Metropolitana,NOS HABÍAN DICHO EN PLANEACIÓN QUE SI PODÍAMOS TENER EL SERVICIO DEL GAS Y EPM NOS LO NEGÓ. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Daños Energía Prepago,_,_,_,_,CHIGORODO,Energía,Línea de atención,,Regional,QUE ME SOLUCIONARON DE MANERA PRONTA EN LA LÍNEA A MI REQUERIMIENTO (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,"En calidad de hija de propietario fallecido, mediante certificado defunci?n, solicita financiaci?n cuenta de Mayo.",_,CALDAS,Acueducto,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"Us: Andres Rodolfo Herrera Botero Cc: 1044426507 Tels: 3226537844 Direcci?n: CR 70 CIRC 4 -21 (INTERIOR 301 ) Municipio: Medell?n / ten?a visita programada para la instalaci?n del servicio de gas para el pasado viernes 10/05/2019 y el contratista no visit? y tampoco llamaron para cancelar la visita. Favor verificar el incumplimiento. ""Autoriza SMS"". ?Se puede llamar de 08:00 am hasta las 06:00 pm. Id: 00001111341557758221 gjimec 9:45 a. m. 13/05/2019",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
"Pedidos Energía (HV, legalizaciones y prepago) - orden",_,_,_,_,ANGOSTURA,Energía,Vinculación al Servicio,,Regional,"PORQUE AL HACER LA SOLICITUD SE HIZO EN PARTES; PRIMERO IR, LUEGO LA VISITA A LOS 15-20 DÍAS DONDE VINIERON A MI HOGAR, Y LUEGO VOLVER ALLÁ CON LOS PAPELES, POR ESO ME PARECIÓ POSITIVO Y BUENO EL SERVICIO.",INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,BELLO,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,SAN CARLOS,Gas,Línea de atención,,Regional,"QUE EN EL MOMENTO DEL AGENDAMIENTO DE LA CITA ME LA ENVIARON POR MENSAJE DE TEXTO Y ME DIJERON QUE ME LLAMAN UNOS DÍAS ANTES PARA ESTAR CONFIRMANDO, LA CHICA FUE MUY CLARA CON LA INFORMACION ME PARECIÓ MUY ATENTA ME GUSTÓ MUCHO LA FORMA EN QUE DESARROLLO LA LLAMADA. NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,MEDELLIN,Gas,Vinculación al Servicio,,Metropolitana,LA PUNTUALIDAD QUE TUVIERON PARA HACER LA CONEXIÓN DEL SERVICIO DEL GAS SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Se presenta en calidad de propietaria del inmueble con instalaci?n 059627008000070000 a solicitar la cancelaci?n de la deuda que posee con la empresa,_,MEDELLIN,Acueducto,Oficina de atención,,Metropolitana,LA ATENCIÓN DE LA ASESORA QUE ME ATENDIÓ EN CUANTO A QUE  FUE CLARA EN LA INFORMACIÓN  Y TRATO DE QUE FUERA  EL PROCESO FUERA RÁPIDO.,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"QUE PRIMERO TRANSFIEREN A UNA PARTE Y DESPUÉS A OTRA, PERO, AL FINAL NO LE DICEN NADA A UNO. SE INDAGA NO DA MÁS INFORMACION.",INCIDENTES NEGATIVOS
"Pedidos Energía (HV, legalizaciones y prepago) - Facturado",_,_,_,_,CAREPA,Energía,Vinculación al Servicio,,Regional,"PORQUE ME DISGUSTO MUCHO LA INSTALACIÓN DEL SERVICIO EN EL ACOMPAÑAMIENTO AL PEDIR EL SERVICIO O SEA YO PEDÍ EL SERVICIO, ME TOCO METERME POR CIRCUNSTANCIAS DE LA VIDA A UN SEGUNDO PISO Y YA VIENDO PEDIDO EL SERVICIO, YO HICE TODAS LAS INSTALACIONES VINIERON AQUÍ, MIRARON, TOMARON FOTOS Y PRIMERO ME HABÍAN DICHO QUE NO ME REGISTRABAN EL CONTADOR PORQUE NO TENÍA PUERTAS NI VENTANAS, YO NO ESTABA VIVIENDO EN UN PRIMER PISO ESTABA VIVIENDO EN UN SEGUNDO PISO COMO LE DIGO POR CIRCUNSTANCIAS DE LA VIDA Y TUVE MUCHOS INCONVENIENTES NO PUDE PONER NI LAS PUERTAS NI LAS VENTANAS DE IGUAL MANERA POR MI SITUACIÓN ECONÓMICA ME TOCO METERME ASÍ EN EL SEGUNDO PISO ANTES FALTÁNDOME OTRO SERVICIO Y FUI PARA QUE ME CERTIFICARAN EL CONTADOR PORQUE YA ESTABA UTILIZANDO EL SERVICIO ENTONCES QUE NO QUE TENÍA QUE PONER LAS PUERTAS Y LAS VENTANAS, YO NO PERO ES QUE ESE ES MI PROBLEMA ME TOCO METERME POR CIRCUNSTANCIAS DE LA VIDA SIN PUERTAS NI VENTANAS, YA ESTOY UTILIZANDO EL SERVICIO, NO ES JUSTO, QUE NO QUE ERA POR TEMÁTICAS DE LA EMPRESA YO ENTIENDO PERO YO NO ESTOY VIVIENDO EN UN PRIMER PISO, ESTOY VIVIENDO EN UN SEGUNDO QUE ANTES NO LO COLOCABAN QUE POR RIESGOS, YO YA ESTOY VIVIENDO ALLÍ Y YO NECESITO QUE ME REGISTREN PARA YO PAGAR MI CONSUMO Y QUE NO, QUE LA FINAL ERA QUE ANTES DE REGISTRARME ME SUSPENDÍAN EL SERVICIO, YO QUIERO HACER LAS COSAS POR LEGAL, EN EL TRANSCURSO DE TIEMPO LLEVO OCHO MESES GASTANDO EL SERVICIO QUE LO ÚLTIMO VINO UN MUCHACHO  Y ME DIJO, NO, DOÑA MAGALY HAGA LAS VUELTAS QUE YO LE RECIBO EL CONTADOR Y YO BUENO YO COMENCÉ Y UN TRABAJADOR DE ALLÁ NO QUISO Y HOY ESTABA PENSANDO QUE YA VIENE LA FECHA DE REPARTIR LOS SERVICIOS DECÍA CUANTO ME VA A LLEGAR LA CUENTA AHI LO VI COMO UNA NEGLIGENCIA, A PESAR DE QUE HUBIERON PERSONAS QUE ME DIJERON QUE YO ERA BOBA QUE VIENDO QUE NO HABÍAN RECIBIDO ESE CONTADOR, QUE ME QUEDABA MÁS FÁCIL CAMBIARLO Y VOLVER A COLOCAR UNO NUEVO QUE NO ESTUVIERA MARCANDO EL CONSUMO Y YO NO PORQUE ESO SE LLAMA ROBAR Y ESO NO ME ENSEÑARON A MÍ A ESTAR ROBANDO LO QUE YO ME HE GASTADO",INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"LA RESOLUCIÓN DE LA CITA FUE OPORTUNA, Y RAPIDA.NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,CARACOLI,Gas,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,SUSPENSION O CORTE DEL SERVICIO,"Nombre:maribel serna
Cc:43490391
Tel:3217069613
Dir:CL 78 B CR 87 -11
Autoriza SMS:si 
Id:00001152571558020745
Usuaria insiste queja asegura  que suspendieron por erro  ya que tiene un sello verde , en open esta en conexi?n y sco no hay informaci?n .favor validar",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,QUE ME REMITÍAN DE UN LADO A OTRO Y NO ME DABAN SOLUCIÓN. NO DA MÁS INFORMACION,INCIDENTES NEGATIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,LA CEJA,Gas,Vinculación al Servicio,,Regional,LA AMABILIDAD QUE ME BRINDAN AL ATENDERME LA PERSONA ENCARGADA DE EPM. SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,En calidad de propietaria solicita financiar factura contrato 358010 $ 244818,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Reclamaciones Escrito (resuelto/Final),EB,INCONFORMIDAD CON EL CONSUMO O PRODUCCION FACTURADO,"Buen d?a 
la siguiente solicitud es para una revisi?n de los servicios p?blicos, se ha visto desde  de enero un incremento cada mes muy elevado de las facturas.
el hogar no esta habitado todo el d?a y no entendemos el porque de los cobros.
Agradezco me puedan atender esta solicitud y realizar la visita para la revisi?n lo mas pronto posible, gracias.   . Servicios seleccionados: Energ?a, Agua Potable, Agua Residual, Gas",_,MEDELLIN,Gas,Canal Escrito,,Metropolitana,ES QUE A PESAR DE QUE SUBIÓ TANTO EL PRECIO DEL SERVICIO INICIALMENTE ME DIJO QUE  HACÍAN UNA REVISIÓN Y YA DESPUÉS QUE NO LA HACÍAN,INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,EL BAGRE,Energía,Línea de atención,,Regional,"PRIMERO CUANDO LLAMO PARA UNA URGENCIA SE DEBE TRATAR RÁPIDO, Y SE DEMORAN MUCHO EN DILIGENCIAR LOS DATOS EL ASESOR  ME DEJAN ESPERANDO MUCHO EN LA LÍNEA (NO DA MÁS INFORMACION)",INCIDENTES NEGATIVOS
Revisiones Periódicas,_,_,_,_,BELLO,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Pedidos Gas - Estado en proceso,_,_,_,_,GIRARDOTA,Gas,Vinculación al Servicio,,Metropolitana,LO BUENO ES QUE ME VAN A HACER LA INSTALACIÓN DEL GAS Y QUE MI CASA VA A PODER TENER EL SERVICIO ESO ME PARECE MUY BUENO. SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"LA ATENCIÓN QUE FUE MUY OPORTUNA PORQUE NO HUBO TANTA ESPERA, DIRECTAMENTE LO QUE PREGUNTE, ESO FE LO QUE ME SOLUCIONARON. SE INDAGA NO DA MÁS INFORMACION",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,En calidad de suscriptora solicita financiaci?n de deuda en la factura con numero de contrato 10692508 un valor de $ 1.088.632 (sin otras entidades). presenta: predial vigente c?dula y factura.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Gas,_,_,_,_,ENVIGADO,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,INCUMPLIMIENTO DE LA REVISION EN LAS FECHAS ESTABLECIDAS,"NOMBRE: JUAN DIEGO CARDONA 	
CC:71193363
DIRECCI?N: CR 99 DD CL 49 A -107 (INTERIOR 211 
TEL?FONO: 3207675893
AUTORIZA MENSAJE DE TEXTO: SI 
ID:00001120611559054383
OBSERVACIONES: Cliente con REQ-803575 Y ORDEN DE TRABAJO 1131158 Para Retiro Cepo para reparaci?n. Cliente informa que al realizarle la revisi?n peri?dica le informan que se debe realizar unas reparaciones pero para ello esta a la espera de que se le retire el cepo y a la fecha no le han cumplido su requerimiento. Solicita atenci?n lo mas pronto posible. Se parametriza de esta manera por ser la mas acorde.  Favor validar y atender.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,"CUANDO LLAME A QUEJARME ME DIJERON QUE LA LLAMADA NO HABÍA SIDO REGISTRADA, ES DECIR NO QUEDO LA QUEJA, ME DIJERON QUE LA LLAMADA HABÍA SIDO HACE 2 DÍAS Y EN REALIDAD HABÍA SIDO HACIA 8 DÍAS. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Daños Energía,_,_,_,_,TAMESIS,Energía,Línea de atención,,Regional,LA ATENCIÓN ES BUENA YA QUE  ME EXPLICARON Y ME DE MANERA  ÁGIL MI DUDA Y ME RESOLVIERON LO QUE NECESITABA(NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Reclamaciones Escrito (resuelto/Final),_,_,_,_,_,Acueducto,Canal Escrito,,Metropolitana,_,_
"Peticiones Escritas (Energía, aguas, gas)",BACK,REQUERIMIENTOS SSPD O SIC,La SSPD emite la resoluci?n Nro. 20198300026225 del 29/04/2019 mediante la cual confirma la decisi?n 0156REC-20190130017913 tomada por la compa??a.,_,MEDELLIN,Acueducto,Canal Escrito,,Metropolitana,LA PRONTA RESPUESTA A LA PETICIÓN.,INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,"QUE NO ES LA PRIMERA VEZ QUE LLAMO A EPM Y VARIOS DÍAS ME PUSIERON A LLAMAR PORQUE TENÍA QUE SER CON EL ÁREA DE GARANTÍAS, PARA QUE DESPUÉS UNO ESTÉ EN UNA LLAMADA SUPER LARGA Y QUE DIGAN QUE NO, QUE DEBO IR HASTA LAS INSTALACIONES, YO TRABAJO,  YO MANTENGO OCUPADA PARA IR A SOLUCIONAR UN DAÑO QUE ES DE USTEDES, DE LA EMPRESA, ADEMÁS EL PROCESO SE DESVÍA POR LA INFORMACION, PORQUE LOS ASESORES NO SABEN EL PROCESO, ES GENTE MUY INEXPERTA, POR ESO DESVÍAN EL PROCESO, ENTONCES SE ENREDA Y SE DEMORA.",INCIDENTES NEGATIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,solicita  financiar  cuenta de mayo  $547885,_,ENVIGADO,Acueducto,Oficina de atención,,Metropolitana,PORQUE  LE INDIQUE A LA PERSONA QUE ME ATENDIÓ EN LA OFICINA QUE EL CONTRATO ES POR 6 MESES QUE SE RENUEVA AUTOMÁTICAMENTE  Y NO ME LO QUERÍA ACEPTAR Y ENTONCES ERA POR PEREZA DE REVISAR DE LA ASESORA Y  DE SACAR LA  CUENTA DE  CUÁNTO TIEMPO  TENÍA YO A AHÍ PARA QUE ELLOS SACARAN LA CUENTA DE FINANCIAMIENTO,INCIDENTES NEGATIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,BELLO,Gas,Vinculación al Servicio,,Metropolitana,-,EXPERIENCIA NORMAL
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"FABIO ESTRADA CHICA
CC 70087402
TEL 3207522714
ID 00001066641558733202
dir CR 76 CL 53 -90 (INTERIOR 901 )
cliente insiste en radicar queja por falta de informaci?n en los procesos de las revisiones peri?dicas, manifiesta que al t?cnico que se dirije a la vivienda a realizar la rev peri?dica no se le informa que tiene un sepo y debido a esto se extiende la atenci?n del requerimiento, indica que la empresa debe realizar al momento de agendar la cita el retiro del cepo para que no se extienda el proceso.",_,MEDELLIN,Gas,Línea de atención,,Metropolitana,-,EXPERIENCIA NORMAL
Daños Energía,_,_,_,_,SAN RAFAEL,Energía,Línea de atención,,Regional,-,EXPERIENCIA NORMAL
Revisiones Periódicas,_,_,_,_,MEDELLIN,Gas,Línea de atención,,Metropolitana,LA AGILIDAD FUE MUY RÁPIDOS A LA HORA DE AGENDAR CITA. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,SANTA BARBARA,Gas,Vinculación al Servicio,,Regional,-,EXPERIENCIA NORMAL
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuaria en calidad de suscriptora solicita financiaci?n.,_,TURBO,Gas,Oficina de atención,,Regional,PORQUE YO FUI A AVERIGUAR  SI PODÍA PAGAR EN DOS CUOTAS Y LA PERSONA QUE ME ATENDIÓ ME INDICO    QUE SI PODÍA CANCELAR LA DEUDA  DE LA FACTURA EN DOS CUOTAS.,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,ITAGUI,Gas,Línea de atención,,Metropolitana,LA ATENCIÓN EN LA LÍNEA ES RÁPIDA Y EFICIENTE ENVIARON RÁPIDAMENTE A ATENDER EL CASO,INCIDENTES POSITIVOS
Quejas Gas,TELEFONICO,INCONFORMIDAD CON LA INFORMACION,"Nombre: Yurani Ramirez Arias
Cc: 43924486
Tel:  3206947480
Dir: CL 52 B CR 63 AA -61  
Autoriza SMS:  SI
Id: 00001101621558645476
Solicitud en Hidro 2860458 para verificar hundimiento en v?a, funcionaria de SANEAR manifiesta inconformidad ya que al romper v?a se presenta da?o en red de gas pero asegura que esta red no presenta cintilla de marcaci?n donde se pueda saber que existe esta red, el personal que efectu? la reparaci?n del gas informa en la papeleta que si hab?a esta cintilla por lo cual el costo del arreglo le corresponde al contratista SANEAR por lo cual no esta de acuerdo.",_,BELLO,Gas,Línea de atención,,Metropolitana,"CUANDO LLAME A PONER LA QUEJA NO ME RETOMARON, NO SABÍA SI QUEDO INTERPUESTA LA QUEJA. NO DA MÁS INFORMACION",INCIDENTES NEGATIVOS
Pedidos Gas - Estado en proceso,_,_,_,_,BELLO,Gas,Vinculación al Servicio,,Metropolitana,LA ATENCIÓN Y LA RAPIDEZ CON LA QUE MANEJAN TODO ESTE PROCESO ME ENCANTO Y NO TUVE NINGÚN INCONVENIENTE. SE INDAGA Y NO DA MÁS INFORMACIÓN.,INCIDENTES POSITIVOS
Revisiones Periódicas,_,_,_,_,LA ESTRELLA,Gas,Línea de atención,,Metropolitana,INMEDIATAMENTE ME DIERON LA CITA PARA LA REVISIÓN JOVEN FUE MUY FORMAL MUY ATENTO. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Energía,_,_,_,_,_,Energía,Línea de atención,,Regional,QUE ME ATENDIERON ESTUVO BIEN EN GENERAL Y ME SOLUCIONARON RESPONDIERON MI PREGUNTA SIN PROBLEMA  (NO DA MÁS INFORMACION),INCIDENTES POSITIVOS
Daños Agua Prepago,_,_,_,_,MEDELLIN,Acueducto,Línea de atención,,Metropolitana,QUE ME ATENDIERON PORQUE ME CONTESTARON Y PUDE COLOCAR LA QUEJA DEL AGUA ADEMÁS AL OTRO DÍA VINIERON. SE INDAGA NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
Daños Gas,_,_,_,_,PUERTO BERRIO,Gas,Línea de atención,,Regional,"LA RÁPIDA REACCIÓN CUANDO UNO TIENE UN INCONVENIENTE ,LA REACCIÓN FUE OPORTUNA LLAME TEMPRANO SOBRE LAS SIETE Y A LAS NUEVE YA ESTABA EL MUCHACHO HACIENDO EL SERVICIO",INCIDENTES POSITIVOS
Financiaciones,PRESENCIAL,GESTIONAR FINANCIACION,Usuario en calidad de hija de la propietaria solicita cancelar financiaci?n de contado,_,YARUMAL,Gas,Oficina de atención,,Regional,LA ATENCIÓN DEL   ASESOR QUE ME ATENDIÓ  EN CUANTO A QUE EXPLICO TODO CORRECTAMENTE  ADEMÁS FUE AMABLE Y RESPETUOSO.,INCIDENTES POSITIVOS
Peticiones Energía Oficinas (resuelto),PRESENCIAL,NOTIFICACION YO DESCARGOS,Cliente se presenta a notificarse de la respuesta a petici?n con radicado #20190120046261.,_,MEDELLIN,Energía,Oficina de atención,,Metropolitana,EL RESPETO LA ATENCIÓN LA COMPRESIONAL NIÑA QUE ME ATENDIÓ ME EXPLICO Y ME ASESORO MUY BIEN. NO DA MÁS INFORMACION,INCIDENTES POSITIVOS
